商户订单号,发生时间,收入金额（+元）,支出金额（-元）,账务类型,备注,业务描述
231020-358744145370282,2023/10/20 17:14,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020171405814-6003-0113858076,0050002|服务支出-消费者体验提升计划
231016-606312887263347,2023/10/20 17:09,0,-55,退款,-,0020002|交易退款-订单退款
231016-606312887263347,2023/10/20 17:09,55,0,交易收入,-,0010002|交易收入-订单收入
231016-606312887263347,2023/10/20 17:06,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231020-214245067642300,2023/10/20 16:18,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020161835667-8982-0113858076,0050002|服务支出-消费者体验提升计划
231020-386043759482300,2023/10/20 16:18,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020161835667-8982-0113858076,0050002|服务支出-消费者体验提升计划
231020-253524766341760,2023/10/20 15:53,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020155310781-5201-0113858076,0050002|服务支出-消费者体验提升计划
231020-085930812320835,2023/10/20 15:53,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020155310781-5201-0113858076,0050002|服务支出-消费者体验提升计划
231009-155378073193367,2023/10/20 15:09,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231009-155378073193367,2023/10/20 15:09,55,0,交易收入,-,0010002|交易收入-订单收入
231020-395622511642945,2023/10/20 13:42,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020134228773-2515-0113858076,0050002|服务支出-消费者体验提升计划
231019-493533316552625,2023/10/20 13:42,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020134228773-2515-0113858076,0050002|服务支出-消费者体验提升计划
231019-624972338633946,2023/10/20 13:14,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020131430658-4903-0113858076,0050002|服务支出-消费者体验提升计划
231019-493376030190181,2023/10/20 12:08,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020120755793-4016-0113858076,0050002|服务支出-消费者体验提升计划
231015-309909339681768,2023/10/19 21:54,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231015-309909339681768,2023/10/19 21:54,55,0,交易收入,-,0010002|交易收入-订单收入
231016-179102084590939,2023/10/19 16:44,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231016-179102084590939,2023/10/19 16:44,55,0,交易收入,-,0010002|交易收入-订单收入
231019-077384917783935,2023/10/19 14:24,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231019142440881-8221-0113858076,0050002|服务支出-消费者体验提升计划
231018-460623748141129,2023/10/19 10:53,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231019105324859-1167-0113858076,0050002|服务支出-消费者体验提升计划
231014-322798960133443,2023/10/18 17:59,55,0,交易收入,-,0010002|交易收入-订单收入
231014-322798960133443,2023/10/18 17:59,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231018-483629474581487,2023/10/18 17:41,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231018174125807-1075-0113858076,0050002|服务支出-消费者体验提升计划
231018-117026364461129,2023/10/18 17:24,52.6,0,交易收入,-,0010002|交易收入-订单收入
231018-117026364461129,2023/10/18 17:24,2.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231018-117026364461129,2023/10/18 17:24,0,-2.5,优惠券结算,退款扣除优惠券支付金额,0020005|交易退款-优惠券结算
231018-117026364461129,2023/10/18 17:24,0,-52.6,退款,-,0020002|交易退款-订单退款
231018-117026364461129,2023/10/18 17:21,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231018-604755793573000,2023/10/18 15:19,55,0,交易收入,-,0010002|交易收入-订单收入
231018-604755793573000,2023/10/18 15:19,0,-55,退款,-,0020002|交易退款-订单退款
231018-604755793573000,2023/10/18 15:14,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231017-469541928350841,2023/10/18 13:54,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231018135410823-1189-0113858076,0050002|服务支出-消费者体验提升计划
231017-125944544670841,2023/10/18 13:54,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231018135410823-1189-0113858076,0050002|服务支出-消费者体验提升计划
231017-060319364102081,2023/10/18 13:30,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231018133030982-3371-0113858076,0050002|服务支出-消费者体验提升计划
231016-673867406343368,2023/10/18 7:54,55,0,交易收入,-,0010002|交易收入-订单收入
231016-673867406343368,2023/10/18 7:54,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231013-103116983041409,2023/10/17 19:29,0,-6,优惠券结算,退款扣除优惠券支付金额,0020005|交易退款-优惠券结算
231013-103116983041409,2023/10/17 19:29,49,0,交易收入,-,0010002|交易收入-订单收入
231013-103116983041409,2023/10/17 19:29,6,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231013-103116983041409,2023/10/17 19:29,0,-49,退款,-,0020002|交易退款-订单退款
231013-103116983041409,2023/10/17 19:23,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231013-035572960123153,2023/10/17 18:59,0,-5.8,多多进宝,多多进宝费用扣除（佣金及软件服务费）,0060001|营销费用-多多进宝
231013-035572960123153,2023/10/17 18:59,0,-0.58,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231013-035572960123153,2023/10/17 18:59,58,0,交易收入,-,0010002|交易收入-订单收入
231016-606312887263347,2023/10/17 14:04,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231017140446805-3503-0113858076,0050002|服务支出-消费者体验提升计划
231017-390002185811752,2023/10/17 13:54,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231017135425834-6585-0113858076,0050002|服务支出-消费者体验提升计划
231016-159656252903220,2023/10/17 13:54,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231017135425834-6585-0113858076,0050002|服务支出-消费者体验提升计划
231017-620772739841409,2023/10/17 13:54,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231017135425834-6585-0113858076,0050002|服务支出-消费者体验提升计划
231006-049220228530817,2023/10/17 10:54,55,0,交易收入,-,0010002|交易收入-订单收入
231006-049220228530817,2023/10/17 10:54,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231017-620772739841409,2023/10/17 9:44,0,-3,其他,商家小额打款：小额补偿扣款(231017-620772739841409),0040001|售后费用-小额打款
231013-136210052061429,2023/10/16 16:44,7.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231013-136210052061429,2023/10/16 16:44,67.5,0,交易收入,-,0010002|交易收入-订单收入
231013-136210052061429,2023/10/16 16:44,0,-67.5,退款,-,0020002|交易退款-订单退款
231013-136210052061429,2023/10/16 16:44,0,-7.5,优惠券结算,退款扣除优惠券支付金额,0020005|交易退款-优惠券结算
231013-136210052061429,2023/10/16 16:38,0,-0.45,技术服务费,-,0030002|技术服务费-基础技术服务费
231016-191417630180070,2023/10/16 16:17,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231016161720738-3404-0113858076,0050002|服务支出-消费者体验提升计划
231016-179102084590939,2023/10/16 14:27,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231016142700580-5176-0113858076,0050002|服务支出-消费者体验提升计划
231016-673867406343368,2023/10/16 14:03,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231016140301033-5645-0113858076,0050002|服务支出-消费者体验提升计划
231015-058691449851426,2023/10/16 14:03,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231016140301033-5645-0113858076,0050002|服务支出-消费者体验提升计划
231005-617013594901137,2023/10/16 12:09,5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231005-617013594901137,2023/10/16 12:09,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231005-617013594901137,2023/10/16 12:09,50,0,交易收入,-,0010002|交易收入-订单收入
231012-498461612823753,2023/10/15 19:19,10,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231012-498461612823753,2023/10/15 19:19,65,0,交易收入,-,0010002|交易收入-订单收入
231012-498461612823753,2023/10/15 19:19,0,-0.45,技术服务费,-,0030002|技术服务费-基础技术服务费
231015-309909339681768,2023/10/15 17:21,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231015172140597-6401-0113858076,0050002|服务支出-消费者体验提升计划
231015-395056301523286,2023/10/15 17:05,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231015170530762-0897-0113858076,0050002|服务支出-消费者体验提升计划
231005-526217409323444,2023/10/15 15:19,0,-0.74,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231005-526217409323444,2023/10/15 15:19,74.1,0,交易收入,-,0010002|交易收入-订单收入
231015-466826054672809,2023/10/15 13:25,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231015132540915-4200-0113858076,0050002|服务支出-消费者体验提升计划
231015-057886657533096,2023/10/15 12:03,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231015120310790-2813-0113858076,0050002|服务支出-消费者体验提升计划
231015-686911671293096,2023/10/15 11:52,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231015115230819-3827-0113858076,0050002|服务支出-消费者体验提升计划
231015-619949669792599,2023/10/15 11:24,23.88,0,交易收入,-,0010002|交易收入-订单收入
231015-619949669792599,2023/10/15 11:24,0,-23.88,退款,-,0020002|交易退款-订单退款
231015-619949669792599,2023/10/15 11:22,0,-0.14,技术服务费,-,0030002|技术服务费-基础技术服务费
231006-090560285702157,2023/10/15 11:19,0,-72,退款,-,0020002|交易退款-订单退款
231006-090560285702157,2023/10/15 11:19,72,0,交易收入,-,0010002|交易收入-订单收入
231006-090560285702157,2023/10/15 11:15,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231013-035572960123153,2023/10/14 14:55,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231014145535712-4804-0113858076,0050002|服务支出-消费者体验提升计划
231014-322798960133443,2023/10/14 14:32,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231014143155914-6807-0113858076,0050002|服务支出-消费者体验提升计划
231012-056355756923153,2023/10/13 19:09,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231012-056355756923153,2023/10/13 19:09,55,0,交易收入,-,0010002|交易收入-订单收入
231005-631819540041577,2023/10/13 15:39,55,0,交易收入,-,0010002|交易收入-订单收入
231005-631819540041577,2023/10/13 15:39,0,-55,退款,-,0020002|交易退款-订单退款
231005-631819540041577,2023/10/13 15:38,0,-2.2,退款,运费判责：售后订单退货运费扣款(231005-631819540041577),0040003|售后费用-运费补偿
231005-631819540041577,2023/10/13 15:37,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231013-103116983041409,2023/10/13 15:24,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231013152405660-4845-0113858076,0050002|服务支出-消费者体验提升计划
231013-136210052061429,2023/10/13 13:29,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231013132950631-4243-0113858076,0050002|服务支出-消费者体验提升计划
231012-498461612823753,2023/10/13 11:25,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231013112520730-5534-0113858076,0050002|服务支出-消费者体验提升计划
231009-388355859481295,2023/10/13 10:39,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231009-388355859481295,2023/10/13 10:39,55,0,交易收入,-,0010002|交易收入-订单收入
231012-589598627472809,2023/10/13 9:52,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231013095250940-4870-0113858076,0050002|服务支出-消费者体验提升计划
231008-381230795802269,2023/10/12 17:09,0,-47,退款,-,0020002|交易退款-订单退款
231008-381230795802269,2023/10/12 17:09,47,0,交易收入,-,0010002|交易收入-订单收入
231008-381230795802269,2023/10/12 17:05,0,-0.28,技术服务费,-,0030002|技术服务费-基础技术服务费
231012-177167472272114,2023/10/12 15:27,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231012152725820-0945-0113858076,0050002|服务支出-消费者体验提升计划
231012-056355756923153,2023/10/12 14:54,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231012145431560-3512-0113858076,0050002|服务支出-消费者体验提升计划
231006-211634175581569,2023/10/12 12:04,3.24,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231006-211634175581569,2023/10/12 12:04,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231006-211634175581569,2023/10/12 12:04,51.76,0,交易收入,-,0010002|交易收入-订单收入
231008-102765700111720,2023/10/12 6:04,0,-0.45,技术服务费,-,0030002|技术服务费-基础技术服务费
231008-102765700111720,2023/10/12 6:04,75,0,交易收入,-,0010002|交易收入-订单收入
231009-648921783212245,2023/10/11 20:49,5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231009-648921783212245,2023/10/11 20:49,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231009-648921783212245,2023/10/11 20:49,50,0,交易收入,-,0010002|交易收入-订单收入
231010-643857171911268,2023/10/11 10:28,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231011102826728-3544-0113858076,0050002|服务支出-消费者体验提升计划
231007-469374125512092,2023/10/11 10:09,39,0,交易收入,-,0010002|交易收入-订单收入
231007-469374125512092,2023/10/11 10:09,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231007-469374125512092,2023/10/11 10:09,16,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
230930-183380264451656,2023/10/11 8:44,24.28,0,交易收入,-,0010002|交易收入-订单收入
230930-183380264451656,2023/10/11 8:44,0,-0.15,技术服务费,-,0030002|技术服务费-基础技术服务费
231007-216226896900217,2023/10/10 16:04,72,0,交易收入,-,0010002|交易收入-订单收入
231007-216226896900217,2023/10/10 16:04,0,-72,退款,-,0020002|交易退款-订单退款
231007-216226896900217,2023/10/10 16:00,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231009-155378073193367,2023/10/10 15:23,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231010152330603-1836-0113858076,0050002|服务支出-消费者体验提升计划
231008-101255760713058,2023/10/10 13:45,0,-3.92,多多进宝,多多进宝费用扣除（佣金及软件服务费）,0060001|营销费用-多多进宝
231008-101255760713058,2023/10/10 13:45,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231008-101255760713058,2023/10/10 13:45,71.25,0,交易收入,-,0010002|交易收入-订单收入
231008-187155106633058,2023/10/10 13:39,0,-3.92,多多进宝,多多进宝费用扣除（佣金及软件服务费）,0060001|营销费用-多多进宝
231008-187155106633058,2023/10/10 13:39,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231008-187155106633058,2023/10/10 13:39,71.25,0,交易收入,-,0010002|交易收入-订单收入
231008-444853144393058,2023/10/10 10:06,71.25,0,交易收入,-,0010002|交易收入-订单收入
231008-530752490313058,2023/10/10 10:06,71.25,0,交易收入,-,0010002|交易收入-订单收入
231008-444853144393058,2023/10/10 10:06,0,-71.25,退款,-,0020002|交易退款-订单退款
231008-530752490313058,2023/10/10 10:06,0,-71.25,退款,-,0020002|交易退款-订单退款
231008-530752490313058,2023/10/10 10:02,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231008-444853144393058,2023/10/10 10:02,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231004-199087911741890,2023/10/9 20:54,55,0,交易收入,-,0010002|交易收入-订单收入
231004-199087911741890,2023/10/9 20:54,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231009-648921783212245,2023/10/9 16:57,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231009165740558-1185-0113858076,0050002|服务支出-消费者体验提升计划
231008-102765700111720,2023/10/9 15:07,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231009150700878-1014-0113858076,0050002|服务支出-消费者体验提升计划
231009-388355859481295,2023/10/9 15:07,0,-0.69,其他服务,消费者体验提升计划费用，扣费编号：B231009150700878-1014-0113858076,0050002|服务支出-消费者体验提升计划
231009-496993627822259,2023/10/9 14:34,0,-75,退款,-,0020002|交易退款-订单退款
231009-496993627822259,2023/10/9 14:34,75,0,交易收入,-,0010002|交易收入-订单收入
231009-496993627822259,2023/10/9 14:32,0,-0.45,技术服务费,-,0030002|技术服务费-基础技术服务费
231004-174273412591657,2023/10/9 13:19,0,-15.88,退款,-,0020002|交易退款-订单退款
231004-174273412591657,2023/10/9 13:19,15.88,0,交易收入,-,0010002|交易收入-订单收入
231004-174273412591657,2023/10/9 13:19,0,-10,优惠券结算,退款扣除优惠券支付金额,0020005|交易退款-优惠券结算
231004-174273412591657,2023/10/9 13:19,10,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231004-174273412591657,2023/10/9 13:17,0,-0.16,技术服务费,-,0030002|技术服务费-基础技术服务费
231007-216226896900217,2023/10/8 17:42,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231008174200644-1038-0113858076,0050002|服务支出-消费者体验提升计划
231008-381230795802269,2023/10/8 17:42,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231008174200644-1038-0113858076,0050002|服务支出-消费者体验提升计划
231008-444853144393058,2023/10/8 14:27,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231008142655784-5504-0113858076,0050002|服务支出-消费者体验提升计划
231008-101255760713058,2023/10/8 14:27,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231008142655784-5504-0113858076,0050002|服务支出-消费者体验提升计划
231008-187155106633058,2023/10/8 14:27,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231008142655784-5504-0113858076,0050002|服务支出-消费者体验提升计划
231008-530752490313058,2023/10/8 14:27,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231008142655784-5504-0113858076,0050002|服务支出-消费者体验提升计划
231007-469374125512092,2023/10/8 11:56,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231008115650683-4416-0113858076,0050002|服务支出-消费者体验提升计划
231007-474643198792934,2023/10/7 16:04,0,-55,退款,-,0020002|交易退款-订单退款
231007-474643198792934,2023/10/7 16:04,55,0,交易收入,-,0010002|交易收入-订单收入
231007-474643198792934,2023/10/7 16:01,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
230929-501958645171265,2023/10/7 14:29,0,-0.2,技术服务费,-,0030002|技术服务费-基础技术服务费
230929-501958645171265,2023/10/7 14:29,33.88,0,交易收入,-,0010002|交易收入-订单收入
231006-148315841512086,2023/10/7 14:19,55,0,交易收入,-,0010002|交易收入-订单收入
231006-148315841512086,2023/10/7 14:19,0,-55,退款,-,0020002|交易退款-订单退款
231006-148315841512086,2023/10/7 14:15,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231006-090560285702157,2023/10/7 12:58,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231007125815587-5508-0113858076,0050002|服务支出-消费者体验提升计划
231006-148315841512086,2023/10/7 11:19,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231007111935667-4633-0113858076,0050002|服务支出-消费者体验提升计划
231006-211634175581569,2023/10/7 11:03,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231007110320613-9740-0113858076,0050002|服务支出-消费者体验提升计划
231006-049220228530817,2023/10/7 11:03,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231007110320613-9740-0113858076,0050002|服务支出-消费者体验提升计划
230926-243720580750813,2023/10/6 16:09,0,-0.14,技术服务费,-,0030002|技术服务费-基础技术服务费
230926-243720580750813,2023/10/6 16:09,2,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
230926-243720580750813,2023/10/6 16:09,20.88,0,交易收入,-,0010002|交易收入-订单收入
231005-617013594901137,2023/10/6 12:21,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231006122055924-6678-0113858076,0050002|服务支出-消费者体验提升计划
231005-631819540041577,2023/10/6 11:00,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231006110010549-3644-0113858076,0050002|服务支出-消费者体验提升计划
231005-526217409323444,2023/10/5 15:30,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231005152955560-6037-0113858076,0050002|服务支出-消费者体验提升计划
231005-096720679723444,2023/10/5 14:49,0,-74.1,退款,-,0020002|交易退款-订单退款
231005-096720679723444,2023/10/5 14:49,74.1,0,交易收入,-,0010002|交易收入-订单收入
231005-096720679723444,2023/10/5 14:47,0,-0.74,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231004-199087911741890,2023/10/4 17:14,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231004171355531-9126-0113858076,0050002|服务支出-消费者体验提升计划
231004-002642430781890,2023/10/4 16:44,0,-55,退款,-,0020002|交易退款-订单退款
231004-002642430781890,2023/10/4 16:44,55,0,交易收入,-,0010002|交易收入-订单收入
231004-002642430781890,2023/10/4 16:41,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231004-174273412591657,2023/10/4 13:17,0,-0.71,其他服务,消费者体验提升计划费用，扣费编号：B231004131720755-9545-0113858076,0050002|服务支出-消费者体验提升计划
230924-196487433073442,2023/10/3 13:39,20.6,0,交易收入,-,0010002|交易收入-订单收入
230924-196487433073442,2023/10/3 13:39,2.28,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
230924-196487433073442,2023/10/3 13:39,0,-0.14,技术服务费,-,0030002|技术服务费-基础技术服务费
230930-183380264451656,2023/10/1 8:57,0,-0.75,其他服务,消费者体验提升计划费用，扣费编号：B231001085735925-7105-0113858076,0050002|服务支出-消费者体验提升计划
